# Measured per-harness cost, in seconds, used ONLY to bin-pack the shards of
# .github/workflows/kani-full.yml. It is a scheduling hint, never evidence: a
# harness's verdict comes from the run, not from this file.
#
# PROVENANCE, stated because these numbers are easy to misread:
#   Source: ~/percolator-ops/artifacts/kani-2026-08-24/results.tsv -- a SOLO run
#   (one harness at a time, nothing else on the machine) of the then-240-harness
#   suite on a 14-core arm64 box, 2026-08-24, Kani 0.67.0. Solo numbers are used
#   deliberately: every later full sweep in this project ran many workers at once
#   and its wall times are 10-14x inflated by contention (measured: 
#   proof_v16_public_resolved_close_flat_account_pays_only_capital_and_vault 344s
#   solo vs 5890s under a 12-way sweep on a loaded box). Inflated numbers would
#   bin-pack fine but would be cited as costs by someone eventually, so they are
#   not what is checked in.
#
#   That run predates the F-02/F-03/F-04/Q/I2/K changes to src/v16.rs, which made
#   several close-path harnesses genuinely more expensive, and a GitHub hosted
#   runner is slower than that box. Both make these numbers OPTIMISTIC. That is
#   acceptable for bin-packing and is why the heavy harnesses are pinned by name in
#   heavy.txt rather than left to the packer.
#
#   237 of the 330 harnesses in the census appear here; the rest (added since
#   2026-08-24, or not in that suite) are packed at the 120 s default in
#   scripts/kani_census.py. A NEW harness therefore needs no edit here to be run --
#   the shard plan is derived from the census, not from this list.
#
# Regenerate: download the kani-full-census-tsv artefact from a green
# `Kani full census` run and keep columns 1 and 3 (harness, wall_s) -- but only
# from a run whose shards were not competing for cores, or the numbers will be
# contention, not cost.
#
# harness	cost_s
proof_v16_canonical_retired_asset_slot_preserves_identity_and_clears_local_ledgers	7
proof_v16_capital_backed_loss_reservation_is_value_neutral_and_capital_capped	110
proof_v16_ceil_div_positive_checked_matches_small_reference	3
proof_v16_checked_trade_fee_is_ceil_bps_and_never_exceeds_notional	9
proof_v16_close_progress_ledger_residual_equation_is_enforced	86
proof_v16_counterparty_backing_add_delta_refills_or_rejects_by_bucket_state	3
proof_v16_counterparty_backing_withdraw_cannot_underback_claims	42
proof_v16_counterparty_backing_withdraw_delta_debits_only_unliened_backing	19
proof_v16_counterparty_backing_withdraw_delta_status_transitions_are_exact	3
proof_v16_counterparty_credit_consumption_reports_atoms_not_scaled_backing	16
proof_v16_counterparty_lien_consume_delta_is_receivable_exact_and_fail_closed	3
proof_v16_counterparty_lien_create_delta_is_expiry_gated_and_exact	3
proof_v16_counterparty_source_credit_support_does_not_debit_vault_or_insurance	4
proof_v16_counterparty_source_credit_support_is_prebacked_by_realized_capital	6
proof_v16_credit_account_from_insurance_is_value_neutral_and_pool_isolated	6
proof_v16_credit_account_from_insurance_uses_only_unbudgeted_surplus	4
proof_v16_cross_account_source_support_sum_capped_by_shared_backing	69
proof_v16_domain_insurance_budget_delta_cannot_overallocate_pooled_insurance	3
proof_v16_domain_insurance_deposit_updates_o1_remaining_total	137
proof_v16_domain_insurance_spent_delta_cannot_create_unbacked_budget	6
proof_v16_domain_insurance_withdraw_delta_is_budget_scoped_and_value_conserving	14
proof_v16_duplicate_asset_legs_reject_before_double_counting_support	103
proof_v16_dynamic_market_account_len_fails_closed_on_arithmetic_overflow	3
proof_v16_dynamic_market_account_len_roundtrips_capacity_and_offsets	41
proof_v16_dynamic_market_extension_slots_must_be_zero_fill	9
proof_v16_dynamic_market_slot_slice_len_matches_runtime_capacity	3
proof_v16_equity_active_accrual_requires_protective_progress_before_mutation	43
proof_v16_equity_active_accrual_with_progress_commits_one_bounded_segment	53
proof_v16_expired_backing_yields_zero_realizable_support_after_expiry	799
proof_v16_expired_close_progress_declares_recovery_without_value_mutation	54
proof_v16_expired_counterparty_backing_bucket_accepts_receivable_refill	3
proof_v16_fee_core_moves_current_capital_to_insurance_only	30
proof_v16_final_batch_margin_gate_accepts_only_final_certified_im	7
proof_v16_final_impaired_source_claim_burn_clears_account_occupancy_counters	10
proof_v16_floor_div_signed_conservative_matches_small_reference	5
proof_v16_funding_rate_cap_rejects_before_accrual_mutation	42
proof_v16_global_hlock_lane_selects_hmax_only_for_global_stress_or_candidate	15
proof_v16_grant_source_positive_pnl_rejects_non_live	385
proof_v16_health_cert_capital_debit_preserves_im_or_rejects	3
proof_v16_in_place_account_init_clears_hidden_risk_state_and_validates	33
proof_v16_inductive_fee_core_preserves_senior_solvency_and_never_debits_insurance	17
proof_v16_inductive_settle_negative_pnl_preserves_senior_solvency	22
proof_v16_insolvent_resolved_receipt_clears_at_terminal_rate	131
proof_v16_insurance_domain_mapping_is_in_bounds_unique_and_roundtrips	14
proof_v16_insurance_lien_consume_delta_is_aligned_and_atom_exact	3
proof_v16_insurance_lien_consume_spends_only_its_domain_budget	57
proof_v16_insurance_lien_fractional_consume_rejects	3
proof_v16_insurance_lien_split_consume_spends_exact_reserved_atoms	26
proof_v16_insurance_lien_terminal_release_delta_handles_mixed_and_rejects_invalid	4
proof_v16_k_pair_mul_div_floor_matches_small_reference	116
proof_v16_k_pair_zero_cases_return_zero	3
proof_v16_liquidation_cannot_leave_uncovered_loss_with_other_open_risk	4
proof_v16_liquidation_fee_allows_subminimum_full_close	2
proof_v16_liquidation_fee_rejects_subminimum_partial_chunks	3
proof_v16_liquidation_preflight_accepts_only_fully_durable_residual	147
proof_v16_liquidation_preflight_routes_insufficient_residual_capacity_to_recovery	124
proof_v16_liquidation_selector_is_healthy_locally_minimal_or_full_close	51
proof_v16_live_market_shape_rejects_long_short_oi_mismatch	54
proof_v16_live_positive_kf_delta_without_source_rejects	39
proof_v16_live_residual_booking_to_loss_bearing_side_is_bounded_and_exact	24
proof_v16_locked_trade_margin_gate_cannot_use_positive_pnl_credit	8
proof_v16_loss_senior_fee_ordering_consumes_kf_loss_before_fee	52
proof_v16_loss_stale_trade_scope_allows_only_unrelated_current_assets	2
proof_v16_mark_asset_drain_only_is_value_neutral_and_epoch_scoped	119
proof_v16_mul_div_ceil_u256_is_floor_plus_remainder_indicator	29
proof_v16_mul_div_floor_u256_matches_small_reference	11
proof_v16_mutable_view_compacts_persisted_source_domain_tail	37
proof_v16_negative_pnl_settlement_consumes_principal_before_residual	39
proof_v16_new_unfunded_domain_cannot_consume_shared_insurance	45
proof_v16_nonflat_withdraw_rejects_before_value_exit	189
proof_v16_nontrivial_public_profile_satisfies_symbolic_mm_envelope	12
proof_v16_open_source_claim_exposure_blocks_convert	134
proof_v16_pending_domain_loss_barrier_allows_only_same_side_reductions	3
proof_v16_pending_domain_loss_barrier_detects_touching_position_changes	19
proof_v16_permissionless_recovery_crank_is_accounting_neutral	85
proof_v16_persisted_risk_gate_is_complete_for_all_lifecycles_and_side_modes	22
proof_v16_position_delta_risk_classifier_matches_abs_exposure_change	3
proof_v16_positive_kf_delta_creates_source_claim_bound	143
proof_v16_positive_pnl_requires_full_source_claim_attribution	3
proof_v16_price_move_cap_rejects_before_accrual_mutation	44
proof_v16_public_account_backing_fee_split_preserves_senior_stock	244
proof_v16_public_backing_fee_charges_only_selected_domain	95
proof_v16_public_backing_provider_earnings_credit_uses_only_vault_slack	89
proof_v16_public_backing_provider_earnings_withdraw_debits_only_earned_vault	187
proof_v16_public_counterparty_backing_deposit_moves_vault_and_scaled_source_state	233
proof_v16_public_counterparty_backing_deposit_refills_expired_receivable_bucket	262
proof_v16_public_counterparty_backing_expiry_is_value_neutral_and_impairs_liened_backing	196
proof_v16_public_counterparty_backing_withdraw_debits_vault_and_scaled_source_state	184
proof_v16_public_counterparty_backing_withdraw_rejects_underbacking_source_claims	254
proof_v16_public_counterparty_lien_consume_creates_receivable_without_value_movement	230
proof_v16_public_counterparty_lien_create_moves_fresh_to_valid_without_value_movement	130
proof_v16_public_counterparty_lien_impair_moves_valid_to_impaired_without_value_movement	143
proof_v16_public_counterparty_lien_release_restores_unliened_backing_without_value_movement	230
proof_v16_public_credit_domain_insurance_budget_is_value_neutral_and_backed	94
proof_v16_public_domain_insurance_spent_setter_preserves_budget_total_and_value	112
proof_v16_public_domain_insurance_spent_setter_rejects_invalid_without_mutation	85
proof_v16_public_domain_insurance_withdraw_capacity_matches_budget_reserved_and_vault_min	24
proof_v16_public_domain_insurance_withdraw_is_budget_scoped_and_value_conserving	134
proof_v16_public_finalize_side_reset_rejects_each_blocker_without_mutation	16
proof_v16_public_finalize_side_reset_success_is_value_neutral	18
proof_v16_public_insurance_lien_consume_debits_only_domain_insurance	238
proof_v16_public_insurance_lien_create_moves_reserved_credit_to_valid_lien	151
proof_v16_public_insurance_lien_impair_moves_valid_to_impaired_without_value_movement	201
proof_v16_public_insurance_lien_release_restores_reserved_credit_without_value_movement	293
proof_v16_public_insurance_reserve_encumbers_budget_without_value_movement	191
proof_v16_public_insurance_reserve_rejects_unfunded_domain	117
proof_v16_public_market_activation_starts_domains_unfunded_and_value_neutral	52
proof_v16_public_market_capacity_growth_is_monotone_and_value_neutral	8
proof_v16_public_market_capacity_growth_rejects_invalid_requests_without_mutation	9
proof_v16_public_materialized_portfolio_deregister_is_value_neutral	44
proof_v16_public_materialized_portfolio_deregister_rejects_value_state_before_mutation	34
proof_v16_public_materialized_portfolio_register_is_value_neutral	43
proof_v16_public_materialized_portfolio_register_rejects_value_state_before_mutation	33
proof_v16_public_permissionless_empty_market_crank_advances_clock_without_value_movement	101
proof_v16_public_raw_oracle_target_update_is_value_neutral	95
proof_v16_public_resolve_market_is_value_neutral_and_clears_loss_stale	124
proof_v16_public_resolved_close_flat_account_pays_only_capital_and_vault	344
proof_v16_public_resolved_payout_topup_pays_min_claimable_and_vault	81
proof_v16_public_restart_asset_zero_preserves_only_selected_slot_in_two_slot_view	69
proof_v16_public_restart_empty_asset_zero_preserves_budgets_and_senior_value	38
proof_v16_public_restart_nonzero_asset_preserves_only_selected_slot_in_two_slot_view	78
proof_v16_public_restart_rejects_spent_domain_before_mutation	35
proof_v16_recovery_mode_blocks_fee_sync_and_pnl_conversion_before_mutation	194
proof_v16_recovery_mode_blocks_withdraw	99
proof_v16_reserved_domain_insurance_cannot_be_double_spent_by_bankruptcy	123
proof_v16_reset_empty_asset_oracle_anchor_is_value_neutral_and_idle_gated	15
proof_v16_reset_empty_asset_oracle_anchor_rejects_when_pnl_present	13
proof_v16_residual_excludes_recoverable_counterparty_backing_principal	406
proof_v16_residual_excludes_senior_backing_provider_earnings	79
proof_v16_residual_reconciles_with_senior_stock	120
proof_v16_residual_reward_credit_is_capped_by_principal_and_crystallized_loss	9
proof_v16_resolved_external_payout_requires_exact_capital_plus_claim_sources	5
proof_v16_resolved_receipt_claimable_is_rate_monotone_and_overpaid_fails_closed	9
proof_v16_resolved_receipt_payment_cannot_exceed_terminal_claim	5
proof_v16_resolved_residual_booking_without_loss_bearing_side_is_explicit_only	36
proof_v16_resolved_winddown_releases_expired_liened_source_claim	3
proof_v16_resolved_winddown_releases_impaired_insurance_lien	3
proof_v16_resolved_winddown_releases_liened_source_claim	2
proof_v16_restart_empty_asset_core_preserves_budgets_and_assigns_fresh_market	11
proof_v16_retire_empty_asset_is_value_neutral_and_epoch_scoped	190
proof_v16_retire_nonempty_asset_rejects	104
proof_v16_retired_slot_reactivation_accepts_only_empty_source_credit_amounts	30
proof_v16_reused_asset_slot_rejects_stale_market_id_leg	112
proof_v16_risk_notional_ceil_unaligned_ceil_is_correct	36
proof_v16_scaled_adl_delta_fast_matches_aligned_reference_and_fails_closed	7
proof_v16_signed_trade_request_maps_to_opposite_account_deltas	3
proof_v16_source_credit_lien_face_and_backing_use_scaled_units	146
proof_v16_source_credit_rate_never_exceeds_available_backing_ratio	42
proof_v16_source_domain_insert_reuses_same_domain_market_id_tag	21
proof_v16_sparse_source_domain_cap_full_rejects_new_domain	18
proof_v16_sparse_source_domain_insert_roundtrips_occupied_domain	28
proof_v16_sparse_source_domain_validation_accepts_domain_indexed_claim	55
proof_v16_sparse_source_domain_validation_rejects_duplicate_occupied_domain	171
proof_v16_sparse_source_domain_validation_rejects_unoccupied_tagged_slot	18
proof_v16_support_to_account_capital_requires_exact_mixed_source_sum	5
proof_v16_symbolic_conservative_fee_profile_satisfies_mm_envelope_on_small_notionals	12
proof_v16_symbolic_funding_profile_satisfies_mm_envelope_on_small_notionals	9
proof_v16_taker_only_conserves_notional_unaffected	128
proof_v16_target_effective_lag_adverse_delta_is_side_specific	3
proof_v16_target_effective_lag_penalty_enters_all_health_lanes	6
proof_v16_terminal_realization_floored_rate_pays_zero_and_moves_nothing	1800
proof_v16_trade_fee_helper_does_not_charge_negative_pnl_account	47
proof_v16_trade_fee_helper_moves_capital_to_insurance_only	40
proof_v16_trade_fee_notional_ceil_strictly_exceeds_floor_when_unaligned	55
proof_v16_trade_preflight_risk_gate_blocks_only_unsafe_risk_increase	4
proof_v16_trade_reductions_are_funded_only_by_preexisting_side_oi	5
proof_v16_two_resolved_receipts_are_order_independent_when_snapshot_funded	81
proof_v16_underbacked_source_credit_cannot_satisfy_im_lien_requirements	44
proof_v16_unliened_source_support_is_capped_by_realizable_backing	121
proof_v16_validate_shape_rejects_global_junior_bound_below_domain_claims	30
proof_v16_view_deposit_preserves_c_tot_vault_capital_sum	227
proof_v16_view_domain_budget_caps_bankruptcy_insurance_spend	99
proof_v16_view_fee_sync_settles_negative_pnl_before_fee	200
proof_v16_view_initial_margin_source_lien_creation_is_backed	4
proof_v16_view_negative_funding_pays_long_side	44
proof_v16_view_overwithdraw_rejects	195
proof_v16_view_positive_funding_charges_long_side	56
proof_v16_view_trade_position_delta_preserves_oi_symmetry	5
proof_v16_view_withdraw_reduces_vault_ctot_and_capital_equally	245
proof_v16_wide_signed_mul_div_floor_matches_small_reference	31
proof_v16_withdraw_allowed_after_canceled_close	218
proof_v16_withdraw_insurance_surplus_conserves_vault_insurance_lockstep	50
proof_v16_withdraw_insurance_surplus_never_dips_below_budget_remaining_total	5
proof_v16_withdraw_settles_flat_negative_pnl_before_value_exit	265
proof_v16_wrapper_shape_distinct_asset_batch_projection_preserves_oi_and_outcome	5
proof_v17_a9_validate_public_user_fund_direct	3
proof_v17_admit_threshold_lifts_hmax_when_acc_reaches_threshold	4
proof_v17_admit_threshold_none_preserves_hmin_on_clean_market	5
proof_v17_admit_threshold_zero_always_lifts_hmax	5
proof_v17_apply_fee_policy_update_persists	5
proof_v17_apply_fee_policy_update_validates_bounds	7
proof_v17_dual_path_h_lock_lane_none_equiv_toly_baseline	5
proof_v17_fee_policy_update_no_other_field_mutation	6
proof_v17_fork_facade_maint_vs_init_equity_lane_separation	7
proof_v17_fork_facade_trade_open_equity_matches_init_at_identity_override	6
proof_v17_header_abi_a6_fields_within_struct_and_slots_after_header	3
proof_v17_lien1_counterparty_terminal_release_impaired_aware	4
proof_v17_lp_non_drift_production_inequality_gate_sound	6
proof_v17_lp_vault_cooldown_enforcement	2
proof_v17_lp_vault_deposit_redeem_no_profit	3
proof_v17_lp_vault_drain_epoch_freshness	3
proof_v17_lp_vault_fee_split_conservation	3
proof_v17_lp_vault_nav_atoms_sound	96
proof_v17_lp_vault_redemption_round_down	7
proof_v17_lp_vault_shares_round_down_no_over_issue	115
proof_v17_lpvault359_stub_credit_delta_exact_and_guarded	3
proof_v17_max_price_move_bps_per_slot_boundary_accepted	3
proof_v17_max_price_move_bps_per_slot_upper_bound	2
proof_v17_stress_envelope_activation_threshold	5
proof_v17_stress_envelope_clear_resets_fields	5
proof_v17_stress_envelope_does_not_mutate_solvency_fields	6
proof_v17_stress_envelope_epoch_reset	4
proof_v17_stress_envelope_validate_shape_pairing	25
proof_v17_stress_envelope_writer_monotonic	5
proof_v17_wide_mul_div_floor_stub_correct	736
